element,ion,wavelength_nm,strength_percentile
Ni,2,218.4600,62
Eu,3,218.4680,2
Os,1,218.4680,78
Mn,3,218.4870,84
Cr,3,218.5010,69
Mn,3,218.5130,73
Na,3,218.5300,41
W,3,218.5424,96
Ar,2,218.5487,46
Na,3,218.5498,42
W,3,218.5498,62
Ni,2,218.5500,92
Kr,3,218.5530,49
Ag,2,218.5697,66
Yb,2,218.5710,97
W,2,218.5739,43
S,2,218.5932,35
Tm,3,218.5940,94
V,2,218.5949,13
Ca,3,218.6263,56
Cd,2,218.6300,15
Cs,3,218.6324,30
Ge,1,218.6451,67
Pt,2,218.6477,81
Ne,3,218.6543,19
Ar,3,218.6663,81
W,2,218.6738,34
Ag,2,218.6768,94
Hg,2,218.6860,1
Bi,2,218.6930,91
S,2,218.7264,90
Ar,2,218.7315,72
W,3,218.7390,4
In,1,218.7400,4
C,2,218.7480,69
Ti,2,218.7516,87
W,3,218.7532,30
Cd,2,218.7794,67
La,2,218.7870,71
Pb,1,218.7888,22
Sr,3,218.7955,38
Cd,3,218.8130,7
Ar,3,218.8172,75
N,3,218.8200,79
N,3,218.8380,61
C,2,218.8390,76
Ar,2,218.8493,22
S,2,218.8513,85
C,2,218.8720,69
Au,2,218.8810,56
Au,3,218.8970,97
K,2,218.9320,57
Co,2,218.9328,11
W,2,218.9363,62
Cu,2,218.9369,72
Na,3,218.9420,6
W,2,218.9501,84
Cs,3,218.9549,61
Pb,1,218.9603,24
C,2,218.9620,69
Cu,2,218.9630,97
Co,3,218.9674,37
Xe,3,218.9828,46
W,2,218.9848,75
Pt,2,218.9863,37
Kr,3,218.9960,57
Cr,3,219.0090,18
Ti,2,219.0147,80
Hg,2,219.0167,15
Pt,1,219.0180,58
Na,3,219.0185,68
Ne,3,219.0226,54
Pt,2,219.0321,94
Rb,2,219.0360,60
Cu,2,219.0500,58
Ar,2,219.0511,70
Eu,3,219.0590,2
S,2,219.0593,72
Co,2,219.0656,59
Co,2,219.0675,91
Hg,2,219.0744,84
Cr,3,219.0760,70
Er,3,219.0770,14
Pt,1,219.0786,1
In,1,219.0840,5
W,3,219.0841,52
Sr,3,219.0872,94
Co,2,219.0949,44
W,3,219.0980,84
Zr,3,219.1031,84
Ne,3,219.1090,20
Ar,3,219.1121,37
Y,3,219.1160,93
Ca,3,219.1209,68
Fe,3,219.1217,3
Ar,2,219.1287,32
Cs,3,219.1327,20
Ne,3,219.1391,1
Be,3,219.1570,23
Ar,2,219.1579,30
Cr,3,219.1580,72
Ir,1,219.1640,79
Bi,3,219.1710,38
Zr,3,219.1961,70
Fe,2,219.1983,23
Ar,3,219.2014,85
Ni,2,219.2090,94
Kr,3,219.2210,61
Cu,2,219.2268,99
Co,2,219.2271,2
W,1,219.2360,10
S,2,219.2372,72
W,3,219.2405,76
Co,2,219.2498,81
Pt,1,219.2506,3
Al,2,219.2604,90
In,2,219.2650,6
Ne,3,219.2716,27
W,3,219.3043,100
Ta,2,219.3200,74
Co,3,219.3257,77
W,2,219.3448,24
Co,2,219.3605,93
Ne,3,219.3825,6
Ta,2,219.3880,90
Pt,2,219.3902,62
Ne,3,219.4118,2
Al,2,219.4189,44
Pr,3,219.4240,0
Al,2,219.4245,65
Be,1,219.4249,6
Os,2,219.4390,88
Sn,1,219.4499,78
W,2,219.4528,45
Cd,2,219.4557,94
Eu,3,219.4810,3
Co,2,219.4835,39
Ne,3,219.4862,14
Hf,1,219.4968,37
Hf,3,219.5440,53
Ar,2,219.5444,38
Al,2,219.5456,83
Al,2,219.5502,83
Lu,2,219.5540,67
In,2,219.5668,66
Cu,2,219.5682,92
Ir,2,219.5966,59
Ta,2,219.6030,97
Na,3,219.6110,12
Ca,3,219.6169,52
Ir,2,219.6453,78
Pt,1,219.6912,1
Ne,3,219.7052,2
Pt,2,219.7074,53
W,1,219.7080,39
Cs,3,219.7174,43
Pr,3,219.7250,1
In,2,219.7270,17
In,1,219.7407,6
Co,2,219.7481,27
Ir,2,219.7500,91
Ge,2,219.7621,73
Ne,3,219.7789,37
Ra,2,219.7800,16
Xe,3,219.7801,25
W,3,219.7831,84
Cu,2,219.7869,61
Cr,3,219.7890,73
Pt,2,219.7892,45
Rb,2,219.7988,80
S,2,219.8090,56
Yb,3,219.8140,24
Er,3,219.8150,32
Rb,2,219.8262,80
Ne,3,219.8334,2
W,1,219.8367,77
W,3,219.8373,68
Cr,3,219.8620,75
W,2,219.8683,34
Ge,1,219.8714,84
Rb,2,219.8820,45
Ne,3,219.8831,9
W,3,219.8878,30
W,1,219.8915,86
Kr,3,219.9100,50
Al,1,219.9150,4
Ti,3,219.9223,76
Sn,1,219.9346,86
In,3,219.9520,24
Cu,1,219.9583,94
Ne,3,219.9663,20
Ta,2,219.9670,97
Pt,1,219.9702,68
Cu,1,219.9752,87
Sn,2,220.0075,26
Ga,2,220.0085,52
W,3,220.0261,52
S,3,220.0267,33
Cu,2,220.0300,53
Cu,2,220.0508,87
Hg,1,220.0580,21
Cs,3,220.0690,37
Ca,1,220.0730,6
Y,3,220.0760,73
Ba,2,220.0885,39
Cu,2,220.1000,46
Pt,1,220.1008,70
Ne,3,220.1167,9
Au,2,220.1320,28
Sb,1,220.1320,61
Ni,2,220.1410,56
W,1,220.1504,10
Fe,2,220.1586,24
Pt,2,220.1915,73
Pt,2,220.2016,79
Ag,2,220.2034,89
Ne,3,220.2161,54
In,2,220.2190,27
Pt,1,220.2223,90
In,1,220.2240,8
Yb,3,220.2270,59
Ca,3,220.2404,75
Fe,3,220.2460,1
Pt,2,220.2466,89
Os,1,220.2490,76
In,2,220.2670,7
Na,3,220.2831,88
Co,2,220.2950,51
Ba,3,220.2992,45
Ce,3,220.3150,38
Cr,3,220.3220,76
Sr,3,220.3268,38
In,2,220.3270,10
Pb,2,220.3534,48
Ag,2,220.3557,84
Cs,3,220.3635,4
Ir,2,220.3680,78
Sr,3,220.3866,94
Pt,2,220.3893,63
W,2,220.3993,52
Ne,3,220.4100,6
Ag,2,220.4299,76
Ca,3,220.4315,82
W,2,220.4483,98
Al,1,220.4590,14
Al,1,220.4660,15
Rb,2,220.4790,52
Kr,3,220.4840,30
Ir,2,220.4961,99
Ne,3,220.5001,73
Ir,2,220.5029,41
Pt,2,220.5054,48
Co,2,220.5069,44
In,2,220.5279,83
Cs,3,220.5293,9
Pr,3,220.5480,1
Cs,2,220.5524,59
Co,2,220.5524,80
Ni,2,220.5550,98
S,2,220.5627,35
Ar,2,220.5733,59
Sr,3,220.5751,55
Rb,3,220.5760,2
Ge,2,220.5851,74
Ag,2,220.5874,90
Pt,2,220.5884,14
Ne,3,220.5901,46
Co,2,220.5906,0
Nb,3,220.6010,29
Y,3,220.6030,75
Fe,2,220.6082,24
Hf,1,220.6090,6
N,2,220.6090,18
Fe,2,220.6148,41
Co,2,220.6189,91
Zr,3,220.6189,74
Pr,3,220.6260,1
Co,2,220.6315,26
W,3,220.6501,30
W,2,220.6598,49
W,2,220.6717,77
In,2,220.6720,65
Ni,2,220.6720,96
Pt,2,220.6729,71
Hg,2,220.6907,15
Rh,3,220.7000,25
Zr,3,220.7010,68
W,3,220.7057,14
Ta,2,220.7140,73
Ne,3,220.7232,78
Ga,2,220.7360,16
W,3,220.7450,41
W,2,220.7458,55
Co,3,220.7569,43
Rb,2,220.7861,67
Co,2,220.7921,72
Si,1,220.7980,71
Na,3,220.8069,42
Ag,2,220.8401,92
Fe,2,220.8406,58
Sb,1,220.8450,73
Cr,3,220.8700,31
Kr,3,220.8700,61
Ir,2,220.8720,83
Mn,1,220.8810,74
Te,1,220.8830,77
Fe,3,220.8850,19
Ir,2,220.8960,82
Fe,2,220.9032,48
W,3,220.9052,76
Ne,3,220.9315,80
Kr,3,220.9410,31
Pt,2,220.9504,86
Cs,3,220.9608,5
Cd,2,220.9653,19
Sn,1,220.9660,90
Al,3,220.9660,2
Kr,3,220.9700,57
Tl,1,220.9750,10
Cu,2,220.9805,88
K,2,220.9840,33
Sn,3,220.9970,94
Ir,2,221.0005,46
Ta,2,221.0030,93
Al,1,221.0046,15
Zn,2,221.0176,33
Ta,2,221.0190,94
W,3,221.0204,41
Cu,2,221.0267,98
Ag,2,221.0310,46
Xe,3,221.0420,16
Tl,1,221.0710,71
Hf,2,221.0820,81
Si,1,221.0890,73
Co,2,221.0984,41
Mo,3,221.1020,66
Sn,1,221.1033,53
In,1,221.1137,18
Ag,3,221.1230,53
Pt,2,221.1406,38
Co,2,221.1428,31
Si,1,221.1740,71
Ne,3,221.1824,86
Eu,3,221.1850,52
Zr,3,221.1884,16
Mn,3,221.1950,54
W,3,221.2122,4
Pd,2,221.2142,9
W,1,221.2170,36
Tm,3,221.2250,0
Ir,2,221.2320,86
Na,3,221.2352,51
Mn,3,221.2420,75
Ne,3,221.2577,55
Eu,3,221.2630,52
Cu,2,221.2747,84
Co,2,221.3036,18
W,3,221.3103,31
Cs,2,221.3165,27
Co,2,221.3260,0
Hg,1,221.3380,30
Rb,2,221.3468,52
Co,3,221.3501,17
Hf,3,221.3540,12
Al,3,221.3560,10
Bi,3,221.3580,86
Fe,2,221.3653,29
Rb,2,221.3683,21
Ne,3,221.3721,89
S,2,221.3800,33
Mn,1,221.3850,84
Pt,1,221.3931,19
Bi,2,221.4031,80
Fe,2,221.4037,41
Na,3,221.4208,61
Re,2,221.4260,96
Pt,2,221.4272,63
Co,2,221.4335,56
Xe,3,221.4382,16
Pr,3,221.4450,2
Re,1,221.4580,94
Cu,1,221.4581,93
Zr,3,221.4652,4
Eu,3,221.4660,53
Ne,3,221.4728,55
Ba,2,221.4763,44
W,2,221.4786,60
Co,2,221.4793,37
Sn,3,221.4850,19
Pt,2,221.4901,78
Fe,2,221.5075,29
Cu,2,221.5105,91
Mn,3,221.5210,85
Pr,3,221.5250,2
Rb,2,221.5335,34
Eu,3,221.5340,3
Ta,2,221.5600,64
Au,2,221.5630,58
Cu,1,221.5654,85
Fe,2,221.5700,9
W,2,221.6014,75
Ne,3,221.6040,92
La,3,221.6070,59
Ar,2,221.6185,53
Hg,2,221.6264,43
Co,2,221.6356,60
W,3,221.6427,41
W,2,221.6430,47
Ni,2,221.6480,99
Si,1,221.6670,74
Co,3,221.6744,51
Sr,3,221.6744,41
Co,2,221.6928,38
Ir,2,221.7050,49
Rb,2,221.7080,97
Pr,3,221.7120,2
F,3,221.7170,4
Eu,3,221.7230,83
Co,2,221.7301,45
Na,3,221.7340,32
Pt,1,221.7345,65
Rb,3,221.7776,17
W,3,221.7934,62
Rb,2,221.7936,13
Ga,1,221.8039,1
Si,1,221.8060,74
Cu,2,221.8108,98
Ce,3,221.8110,52
W,3,221.8224,31
Fe,2,221.8259,58
W,3,221.8332,85
Zr,3,221.8340,68
Kr,3,221.8420,61
Cd,3,221.8430,11
Cu,2,221.8512,89
Ag,2,221.8748,64
Ar,2,221.8803,69
Si,1,221.8910,35
Ir,2,221.9210,73
Eu,3,221.9330,83
W,3,221.9365,85
Eu,3,221.9420,53
Sr,3,221.9503,94
Ag,2,221.9588,80
Ca,3,221.9851,82
Fe,2,221.9894,0
Co,2,221.9929,45
Ar,2,221.9962,65
Sr,3,222.0050,95
Co,2,222.0094,13
Co,2,222.0115,86
Zr,3,222.0209,58
B,2,222.0298,82
Ir,1,222.0370,86
Ge,1,222.0375,55
Fe,2,222.0378,29
Ni,2,222.0400,64
Cs,2,222.0530,63
Mn,3,222.0550,91
Po,1,222.0670,20
Sb,1,222.0730,50
Co,3,222.0771,14
W,2,222.0939,43
Ni,2,222.1060,16
Ir,2,222.1068,89
Cs,3,222.1286,41
Zr,3,222.1384,64
Co,2,222.1459,10
Cu,2,222.1649,63
Co,2,222.1751,40
Fe,3,222.1832,12
Mn,1,222.1840,89
W,3,222.1883,31
W,3,222.1970,31
Sb,1,222.1980,36
Ce,3,222.2010,70
Po,1,222.2130,1
Pt,1,222.2614,82
W,3,222.2769,76
Ni,2,222.2960,69
Eu,3,222.3130,4
Zr,3,222.3141,65
Mo,3,222.3190,5
Pr,3,222.3230,2
Co,2,222.3263,6
Ra,2,222.3300,29
W,3,222.3354,32
Ba,3,222.3392,88
W,1,222.3574,39
Rb,2,222.3793,60
Ba,3,222.3830,34
Co,3,222.3878,43
Gd,3,222.3950,55
Er,3,222.3980,0
Hg,2,222.4013,77
W,3,222.4049,76
Co,2,222.4082,13
Rb,2,222.4084,30
Ba,3,222.4249,68
Cd,3,222.4430,15
I,3,222.4430,1
Yb,2,222.4460,97
Pt,1,222.4525,18
Ne,3,222.4598,37
W,3,222.4682,52
Cu,2,222.4691,86
Hg,2,222.4711,95
Ir,2,222.4800,77
Sb,1,222.4930,44
Pt,2,222.5009,95
Ir,2,222.5019,59
Xe,3,222.5071,16
Ce,3,222.5080,70
Sb,2,222.5150,4
Sr,3,222.5199,4
Cs,3,222.5200,10
Na,3,222.5280,25
W,1,222.5544,56
Ca,3,222.5559,50
Ti,3,222.5590,16
Ar,2,222.5660,86
Cu,1,222.5697,97
W,2,222.5901,92
Na,3,222.5927,89
Co,2,222.5948,60
Ag,2,222.6002,81
Rb,3,222.6122,63
Pt,2,222.6126,63
W,2,222.6329,62
Re,1,222.6420,92
W,2,222.6568,32
Cr,3,222.6720,98
Cu,2,222.6780,89
W,2,222.6780,56
Pt,1,222.6844,0
Ti,2,222.7139,34
Ar,2,222.7298,41
Mn,3,222.7420,99
W,3,222.7482,62
Co,2,222.7539,46
Kr,3,222.7770,62
Cu,1,222.7775,93
Ir,2,222.7782,59
Ce,3,222.7840,53
Kr,2,222.7925,7
Os,1,222.7980,70
W,1,222.7980,40
Zr,3,222.8023,70
Ce,3,222.8050,53
W,3,222.8100,42
Bi,1,222.8209,92
Pt,2,222.8494,52
Na,2,222.8529,8
Cs,3,222.8544,12
Fe,2,222.8732,49
Cu,2,222.8867,97
Au,2,222.8880,59
Cs,3,222.8896,51
Cs,3,222.9085,30
Pt,2,222.9231,82
Fe,3,222.9269,16
Ag,2,222.9519,98
W,2,222.9629,91
Ar,2,222.9647,90
Pt,2,222.9672,0
Hg,2,222.9807,54
Cu,2,222.9853,88
Hg,2,223.0032,80
Cu,1,223.0084,97
Cu,2,223.0144,89
Na,3,223.0328,100
Ba,3,223.0330,90
Pr,3,223.0350,3
W,3,223.0393,52
Cu,2,223.0398,76
Rb,2,223.0410,52
Co,2,223.0433,43
Ir,2,223.0441,93
Bi,1,223.0609,97
Rh,3,223.0660,28
In,1,223.0699,27
Tm,3,223.0860,42
Ti,2,223.0919,51
Cu,2,223.0951,87
Zr,3,223.1010,66
W,2,223.1076,13
Pt,2,223.1096,65
W,3,223.1162,53
Au,2,223.1180,41
Tm,3,223.1250,51
W,3,223.1251,96
Co,2,223.1358,30
Ar,2,223.1420,82
Ca,3,223.1436,69
Fe,2,223.1493,24
Hg,1,223.1570,55
Cu,2,223.1582,84
Pd,2,223.1591,55
Pt,2,223.1662,39
Sn,1,223.1724,70
Cr,3,223.1810,78
Co,2,223.1904,46
Co,2,223.2072,43
In,3,223.2180,5
Na,3,223.2187,93
Ir,2,223.2248,89
Sr,3,223.2331,2
Er,3,223.2350,17
Co,2,223.2385,10
Fe,3,223.2432,9
W,3,223.2597,14
Sn,3,223.2660,85
Fe,3,223.2692,17
Ba,2,223.2786,59
Pt,2,223.2820,17
Sc,2,223.2905,43
V,3,223.2910,55
Pt,2,223.2972,88
Cs,3,223.3248,23
Ir,2,223.3370,98
Ir,2,223.3441,97
Ar,2,223.3478,32
Ca,3,223.3614,53
Cr,3,223.3810,79
Co,3,223.3891,26
Fe,2,223.3917,25
B,3,223.4088,87
W,3,223.4204,77
Ir,2,223.4380,82
Ba,3,223.4483,74
Hf,3,223.4590,57
B,3,223.4593,90
Os,1,223.4610,81
Ar,2,223.4672,80
Co,2,223.4754,57
W,3,223.4828,77
Pt,1,223.4926,81
Co,2,223.5012,36
Pt,2,223.5023,0
Eu,3,223.5170,4
Co,3,223.5189,61
Er,3,223.5280,55
Pt,2,223.5305,81
Ba,2,223.5379,31
Re,1,223.5440,87
W,2,223.5641,14
P,1,223.5732,40
Cr,3,223.5910,99
Fe,3,223.5910,16
W,3,223.6007,15
Lu,3,223.6140,82
Lu,3,223.6220,93
Ir,2,223.6270,60
Cu,1,223.6278,85
Sr,3,223.6397,55
Ar,2,223.6525,41
Ir,2,223.6592,14
Gd,3,223.6730,56
S,2,223.6766,99
W,2,223.7056,55
Co,3,223.7059,80
Ir,2,223.7090,96
Kr,3,223.7140,62
Pr,3,223.7260,3
Co,2,223.7323,36
Pt,2,223.7352,40
Pb,1,223.7425,46
Fe,2,223.7568,9
Cr,3,223.7590,92
Rb,2,223.7725,74
W,3,223.7769,15
Ti,3,223.7773,86
Tl,1,223.7840,39
Pt,2,223.7892,56
I,3,223.8120,2
Zr,3,223.8122,27
Fe,3,223.8157,15
La,3,223.8360,37
Ag,3,223.8400,8
Cu,1,223.8454,86
Cs,3,223.8646,18
Fe,2,223.9038,30
Pr,3,223.9060,3
W,3,223.9296,85
Pr,3,223.9420,4
Ta,2,223.9480,95
Na,3,223.9484,81
Ir,2,223.9600,61
W,2,223.9771,66
Gd,3,223.9840,22
Yb,3,224.0110,78
Eu,3,224.0140,5
Au,2,224.0160,29
Nb,3,224.0310,30
Ag,2,224.0321,80
Pt,1,224.0322,7
Ag,2,224.0502,61
Ir,2,224.0640,72
Ba,3,224.0683,68
Pt,2,224.0898,99
Ar,2,224.1027,79
C,2,224.1050,65
W,2,224.1081,58
Co,2,224.1184,57
Pt,1,224.1215,28
Pt,2,224.1229,87
Fe,2,224.1419,25
V,3,224.1530,42
Fe,3,224.1540,25
Co,2,224.1653,72
In,1,224.1664,19
Ag,2,224.1721,66
Ar,3,224.1725,90
W,3,224.2040,90
C,2,224.2100,63
Co,3,224.2134,49
Cu,2,224.2142,73
Pr,3,224.2150,4
Ce,3,224.2290,71
Ar,3,224.2321,37
Rb,3,224.2585,3
Cu,2,224.2618,97
W,3,224.2660,53
Ni,2,224.2680,18
Ir,2,224.2683,100
Cu,2,224.2718,64
Cs,3,224.2937,14
Al,2,224.3045,83
Y,2,224.3045,63
Cu,2,224.3094,71
Tm,3,224.3340,24
Ag,2,224.3448,100
Ar,2,224.3660,61
Gd,3,224.3750,40
Xe,3,224.3970,37
Tm,3,224.3980,51
At,1,224.4010,75
Cr,3,224.4100,93
Kr,3,224.4130,50
Nb,3,224.4190,32
Ir,2,224.4230,69
Kr,3,224.4230,57
Cu,1,224.4265,97
Yb,3,224.4280,61
W,3,224.4499,4
Pt,1,224.4977,83
Co,2,224.5129,85
Cs,3,224.5171,11
W,2,224.5194,60
Zr,3,224.5257,71
Xe,3,224.5280,1
In,2,224.5310,38
Fe,2,224.5499,74
Pt,2,224.5524,100
Er,3,224.5600,24
Co,2,224.5647,15
Ba,2,224.5688,61
Ir,2,224.5760,96
Cs,2,224.5809,56
Ar,2,224.5972,18
Co,2,224.6041,67
Sn,1,224.6057,89
Ag,2,224.6107,88
Rb,3,224.6410,33
Ag,2,224.6412,100
Ag,3,224.6510,83
Pt,2,224.6522,98
Cs,3,224.6531,9
Sr,3,224.6619,69
W,2,224.6644,59
Tm,3,224.6680,24
Na,3,224.6706,97
Pb,1,224.6856,47
Pb,1,224.6892,51
Ir,2,224.6900,98
W,3,224.6982,85
Cu,2,224.7002,99
Kr,3,224.7120,4
W,3,224.7229,15
W,3,224.7319,53
Co,2,224.7326,8
Pt,2,224.7482,87
Hg,1,224.7570,56
Fe,2,224.7684,67
Co,2,224.8010,54
W,2,224.8275,86
Cr,2,224.8286,60
In,2,224.8318,20
Ta,2,224.8480,41
Cr,2,224.8548,45
Au,2,224.8560,71
Kr,3,224.8590,57
Ar,3,224.8730,58
Ag,2,224.8749,97
W,1,224.8750,10
W,2,224.8758,97
Rb,3,224.8957,38
Cu,2,224.8967,88
Fe,2,224.9059,68
Fe,2,224.9199,41
Ce,3,224.9250,38
Pt,1,224.9308,84
Pt,2,224.9308,92
I,3,224.9310,40
Ar,2,224.9346,14
Ir,2,224.9456,79
In,2,224.9610,33
Pt,2,224.9632,15
Cr,2,224.9774,12
Ta,2,224.9790,72
W,2,224.9887,96
Pt,1,224.9899,79
Co,2,224.9911,9
Ti,2,225.0068,76
Gd,3,225.0180,56
Co,2,225.0317,69
Fe,2,225.0438,0
Co,2,225.0491,32
Pt,2,225.0625,80
Rb,2,225.0650,77
W,2,225.0734,70
Ta,2,225.0760,92
Rh,3,225.0840,12
Ba,3,225.0976,34
Zr,3,225.0976,69
Co,2,225.1116,42
W,2,225.1137,44
Sn,1,225.1149,62
Kr,3,225.1300,5
W,3,225.1358,86
Rb,2,225.1430,61
Cr,3,225.1450,43
Na,3,225.1474,84
Pt,2,225.1512,89
Cd,2,225.1540,5
Co,3,225.1675,74
Pt,2,225.1808,85
Co,2,225.1822,4
Fe,2,225.1823,91
Cu,2,225.1856,61
Pt,2,225.1921,79
Os,1,225.2150,85
Zr,3,225.2214,66
Ar,2,225.2246,22
Ca,3,225.2446,59
Pt,2,225.2569,74
Co,2,225.2740,49
Hg,2,225.2786,92
Sn,2,225.2845,12
Cu,2,225.3033,56
Cl,3,225.3070,60
Pt,2,225.3122,63
Co,2,225.3162,23
Mo,3,225.3180,70
Ti,2,225.3264,63
Ag,2,225.3361,90
Ir,1,225.3375,76
Co,2,225.3480,61
Ir,1,225.3487,88
Ni,2,225.3850,19
Hf,2,225.4010,67
Kr,3,225.4050,31
W,3,225.4089,68
Rb,2,225.4191,82
Rb,2,225.4551,61
Cs,2,225.4591,51
Co,2,225.4614,21
Ba,2,225.4778,76
Ta,2,225.4860,46
W,2,225.4977,6
Cu,2,225.4988,80
Ga,1,225.5034,3
Ir,1,225.5100,90
Pt,2,225.5127,43
Hf,2,225.5150,42
Ca,3,225.5205,64
C,2,225.5230,48
Rb,2,225.5263,34
Ir,2,225.5406,65
Ar,2,225.5406,23
Hg,2,225.5468,6
Ru,1,225.5520,78
Te,1,225.5520,83
Pt,2,225.5673,33
C,2,225.5680,63
Fe,2,225.5687,77
Sn,2,225.5726,4
Re,1,225.5730,73
Fe,2,225.5766,18
Ta,2,225.5770,66
In,2,225.5787,54
Ir,1,225.5810,87
Co,3,225.5837,31
Os,2,225.5850,93
Co,2,225.5936,21
Er,3,225.5950,6
Cr,2,225.5998,6
Ge,1,225.6001,58
W,3,225.6009,96
Cs,3,225.6056,21
Pt,2,225.6065,1
Pt,2,225.6089,78
Hg,2,225.6120,3
C,2,225.6190,73
Re,1,225.6190,86
Ta,2,225.6510,60
Ar,2,225.6543,9
Co,2,225.6745,88
La,2,225.6760,88
Pt,2,225.6787,69
C,2,225.6790,48
W,2,225.6845,63
Co,2,225.6857,28
Fe,2,225.6891,13
Yb,3,225.7030,73
Gd,3,225.7050,28
W,2,225.7093,24
W,3,225.7124,53
Pt,1,225.7128,45
W,3,225.7325,15
Ag,2,225.7340,56
Ir,2,225.7500,83
Co,2,225.7655,41
Ir,2,225.7678,47
Zr,3,225.7731,84
W,3,225.7754,91
Fe,2,225.7783,49
Cs,2,225.7819,49
Ba,3,225.7902,45
Cr,3,225.7920,20
Cr,2,225.7949,12
Al,1,225.7999,16
W,3,225.8122,91
Cs,2,225.8324,15
W,3,225.8335,54
Ir,2,225.8465,94
Ir,1,225.8510,62
La,3,225.8610,42
Hg,2,225.8678,9
Cs,2,225.8689,28
Ta,2,225.8710,74
Pt,2,225.8713,17
Ir,1,225.8860,88
Te,1,225.9030,96
Ga,1,225.9227,5
Ir,2,225.9400,64
Ru,1,225.9530,52
In,1,225.9991,39
Co,2,226.0006,87
W,3,226.0051,42
Pt,2,226.0199,6
Co,2,226.0287,20
Hg,2,226.0294,96
La,3,226.0300,22
Co,2,226.0437,16
Pt,2,226.0490,43
Cu,1,226.0528,88
Ir,2,226.0650,82
Co,2,226.0973,9
W,3,226.1105,54
Ti,2,226.1190,66
In,3,226.1260,31
Y,3,226.1410,25
Ta,2,226.1420,87
Y,3,226.1570,17
Fe,3,226.1594,25
Ta,2,226.1620,46
Ac,2,226.1749,81
Sr,3,226.1752,69
Eu,3,226.1880,5
W,3,226.1939,86
W,2,226.1940,90
Rb,3,226.2067,18
Ne,3,226.2110,32
Hg,2,226.2223,97
Yb,3,226.2260,62
Sc,1,226.2292,58
Ta,2,226.2300,87
Sb,1,226.2510,74
Co,2,226.2538,4
Pt,2,226.2647,79
Pt,2,226.2718,99
Pt,2,226.2803,23
B,2,226.2880,14
Pt,2,226.2928,19
Co,2,226.3079,24
Cu,1,226.3084,13
Ne,3,226.3166,78
Cu,2,226.3213,79
Fe,2,226.3232,4
Pt,2,226.3309,72
Sr,3,226.3362,48
Co,2,226.3451,57
Al,1,226.3462,40
W,2,226.3519,85
Rb,2,226.3545,61
Au,2,226.3620,72
Hg,2,226.3634,92
Cd,2,226.3649,6
Al,1,226.3731,17
Cu,2,226.3786,87
Pt,2,226.3861,90
Au,2,226.3880,14
Co,2,226.3893,49
Rb,2,226.3935,77
W,3,226.3988,91
Ne,3,226.4047,27
Co,2,226.4081,16
W,2,226.4176,29
Co,2,226.4197,41
K,2,226.4340,44
Rb,2,226.4369,42
Re,1,226.4390,93
Ni,2,226.4460,72
Cu,2,226.4567,55
Fe,2,226.4590,8
Os,1,226.4600,85
Ir,1,226.4610,82
B,2,226.4680,27
Ne,3,226.4832,77
Ce,3,226.4850,39
Cd,2,226.5015,95
Ar,3,226.5145,92
Ir,2,226.5163,87
Ar,2,226.5222,25
W,2,226.5338,18
Cu,2,226.5364,69
Pt,2,226.5379,72
Te,1,226.5530,85
Nb,3,226.5630,34
Yb,3,226.5670,73
W,3,226.5679,16
Eu,3,226.5740,53
Ag,2,226.5789,67
Ne,3,226.5904,32
Al,1,226.6014,29
Sn,2,226.6016,43
Ca,3,226.6072,13
Ne,3,226.6084,74
W,2,226.6131,70
Tc,2,226.6220,1
W,2,226.6251,57
In,3,226.6260,8
Ir,1,226.6330,84
W,3,226.6404,77
Pt,2,226.6408,45
W,3,226.6459,69
Co,2,226.6526,90
Co,2,226.6568,65
Sc,1,226.6594,87
Co,2,226.6799,57
Hf,2,226.6830,61
Ne,3,226.6880,33
Sr,3,226.7026,95
Sn,1,226.7187,54
Cs,3,226.7270,74
W,3,226.7316,69
Co,2,226.7380,33
Fe,3,226.7423,15
Al,1,226.7530,41
Cs,2,226.7646,85
C,2,226.7770,44
Co,3,226.7950,72
Rb,3,226.7997,68
Sr,3,226.8018,70
Pt,2,226.8106,49
Ce,3,226.8200,39
Os,1,226.8280,50
W,3,226.8823,32
Pt,1,226.8838,85
S,2,226.8866,7
Ir,1,226.8900,84
Ir,2,226.8906,96
C,2,226.8910,61
Sn,1,226.8930,91
Cl,3,226.8950,12
Al,1,226.9096,41
Ti,2,226.9112,54
Al,1,226.9220,17
C,2,226.9360,44
Er,3,226.9360,60
Eu,3,226.9390,5
Tm,3,226.9390,25
Ta,2,226.9560,38
In,2,226.9680,17
Ba,3,226.9687,69
Mo,2,226.9690,83
C,2,226.9700,72
Mo,3,226.9710,84
Ar,3,226.9752,92
Ca,3,226.9842,71
Co,2,226.9904,28
Ar,3,226.9954,95
Os,1,227.0170,79
C,2,227.0200,72
Ni,2,227.0210,88
W,2,227.0229,68
W,2,227.0241,82
Co,2,227.0302,5
W,3,227.0454,32
Co,2,227.0540,37
Zr,3,227.0683,16
Sc,1,227.0944,87
Xe,3,227.1055,2
Co,2,227.1119,28
Xe,3,227.1382,37
Ir,2,227.1390,77
Pt,2,227.1619,87
W,3,227.1830,32
Ta,2,227.1850,84
Ru,1,227.2090,83
W,3,227.2386,5
In,3,227.2410,11
W,2,227.2499,3
Ir,2,227.2510,83
Ta,2,227.2590,88
Co,2,227.2673,54
Co,2,227.2705,26
Cs,3,227.2721,1
In,3,227.2840,15
