element,ion,wavelength_nm,strength_percentile
Rb,2,194.6123,2
Sb,3,194.6130,47
Gd,3,194.6260,14
Fe,3,194.6312,37
Ag,3,194.6320,29
Os,3,194.6413,88
Na,3,194.6426,70
Cu,2,194.6493,65
Zr,3,194.6573,81
Ne,3,194.6656,13
Re,3,194.6757,29
Fe,3,194.6763,84
Os,3,194.6789,10
Co,1,194.6790,55
Co,3,194.6794,96
W,3,194.6882,64
Zr,3,194.6908,60
Fe,3,194.7038,5
Na,3,194.7324,0
Pt,2,194.7329,9
Ne,3,194.7456,13
Hg,2,194.7491,25
Co,3,194.7622,72
Rb,2,194.7717,12
Fe,3,194.7915,37
Mn,2,194.7932,52
Ir,2,194.8072,87
Co,3,194.8075,21
Fe,3,194.8160,48
Ca,3,194.8257,91
Fe,3,194.8276,70
Ag,3,194.8440,2
Ne,3,194.8481,13
Pt,2,194.8482,29
Ti,3,194.8508,31
Fe,3,194.8600,13
Hg,2,194.8622,62
Co,3,194.8656,90
Au,3,194.8790,71
Re,3,194.8892,21
Pt,2,194.8971,76
W,3,194.8990,9
Co,3,194.8999,76
Os,3,194.9096,23
Si,2,194.9330,0
Fe,3,194.9459,84
Co,3,194.9531,82
Si,2,194.9560,54
Fe,3,194.9657,85
Co,3,194.9811,95
Pt,1,194.9814,76
Pt,2,194.9910,90
Cr,2,195.0080,11
Sc,2,195.0085,17
Co,2,195.0101,61
Mn,2,195.0143,52
Fe,3,195.0336,98
Yb,3,195.0340,45
Ce,3,195.0360,1
S,2,195.0378,98
Sb,1,195.0390,60
Co,3,195.0637,56
Ne,3,195.0746,26
Ba,3,195.0814,0
Na,3,195.0906,71
Co,3,195.0916,98
Co,3,195.0980,92
Sr,3,195.1003,2
Fe,3,195.1006,100
W,3,195.1171,64
Na,3,195.1237,83
Fe,3,195.1330,48
Ne,3,195.1371,44
S,2,195.1379,5
Ne,3,195.1509,31
W,3,195.1541,45
Pd,3,195.1560,39
W,3,195.1693,64
Ne,2,195.1727,20
Pt,1,195.1770,40
Zr,3,195.1824,5
Ca,3,195.1888,54
Co,1,195.1900,56
Zn,2,195.1911,29
Au,1,195.1930,31
Ne,3,195.2096,52
Sn,1,195.2126,88
Ca,3,195.2133,78
Co,3,195.2158,90
Os,3,195.2243,98
Ne,3,195.2312,44
Fe,3,195.2343,85
Mn,3,195.2360,58
Fe,3,195.2514,70
Mn,3,195.2520,92
Ni,3,195.2540,75
Cu,2,195.2579,63
Fe,3,195.2654,91
Pt,2,195.2694,44
Re,3,195.2713,95
S,2,195.2766,5
Ca,3,195.2823,57
W,3,195.2872,59
Os,3,195.2931,15
Sc,2,195.2959,31
Zn,2,195.2999,44
Os,3,195.3028,26
Ca,3,195.3064,78
Hg,2,195.3074,26
Rb,2,195.3088,4
Ne,3,195.3115,44
W,3,195.3181,36
Fe,3,195.3194,70
Mn,2,195.3230,71
Pt,2,195.3247,31
Ca,3,195.3295,54
Fe,3,195.3328,91
In,2,195.3340,53
B,3,195.3495,94
Fe,3,195.3496,88
Ca,3,195.3546,86
Fe,3,195.3819,21
B,3,195.3827,95
Zr,3,195.3893,30
Co,3,195.3943,95
Fe,3,195.3966,70
Sc,2,195.4059,18
Co,1,195.4220,67
Fe,3,195.4230,85
Rb,2,195.4235,76
Rh,3,195.4250,38
Re,3,195.4563,46
Bi,1,195.4706,81
W,3,195.4712,23
Pt,2,195.4744,88
Fe,3,195.4763,78
Co,3,195.4799,99
Mn,2,195.4810,52
Mg,3,195.4831,37
Zn,2,195.4872,37
Co,3,195.4883,94
W,3,195.4905,46
Be,3,195.4970,50
Si,1,195.4970,61
Fe,3,195.4982,91
Re,3,195.4998,94
Ge,1,195.5115,78
W,3,195.5134,46
Co,1,195.5170,68
Ne,3,195.5185,45
Na,3,195.5326,35
Re,3,195.5333,16
S,2,195.5359,5
Ne,3,195.5410,63
Sn,3,195.5501,9
Co,3,195.5507,89
Pt,2,195.5539,14
Fe,3,195.5710,21
Co,3,195.5794,97
Re,3,195.5890,4
Fe,3,195.5941,37
Co,3,195.6014,96
Ne,3,195.6030,5
Fe,3,195.6094,27
Na,3,195.6314,28
Ne,3,195.6319,19
Re,3,195.6375,11
Pt,2,195.6495,27
Sc,2,195.6535,42
Rb,2,195.6540,66
Fe,3,195.6596,21
Mn,3,195.6610,35
Be,1,195.6630,6
Ne,3,195.6748,72
Fe,3,195.7137,78
Os,3,195.7234,58
Hg,2,195.7320,73
Fe,3,195.7378,78
Co,2,195.7429,49
O,2,195.7441,20
Cu,2,195.7518,69
Ag,3,195.7620,95
Ne,3,195.7634,79
Hg,2,195.7759,6
Ar,3,195.7846,14
Os,3,195.7866,28
Fe,3,195.7941,85
S,2,195.7989,4
W,3,195.8029,64
Ne,3,195.8055,31
Ca,3,195.8149,63
